"Species","Approx_lat","Approx_long","Type"
"Coris sandeyeri ",-36.27,174.8,"Literature"
"Choerodon anchorago ",7.5,134.5,"Literature"
"Halichoeres garnoti ",24.95,-80.47,"Literature"
"Semicossyphus pulcher ",32.67,-117.24,"Literature"
"Cheilinus lunuatus ",29.55,34.95,"Literature"
"Coris aygula ",29.55,34.95,"Literature"
"Cheilinus fasciatus ",29.55,34.95,"Literature"
"Cheilinus trilobatus ",29.55,34.95,"Literature"
"Coris aygula ",29.55,34.95,"Literature"
"Choerodon cyanodus ",-23.44,151.91,"Literature"
"Pseudolabrus miles ",NA,NA,"Literature"
"Thalassoma lutescens ",NA,NA,"Literature"
"Halichoeres hortulanus ",10.57,72.63,"Literature"
"Thalassoma jansenii ",10.57,72.63,"Literature"
"Thalassoma lunare ",10.57,72.63,"Literature"
"Choerodon schoenleinii ",-23.15,150.95,"Literature"
"Thalassoma hardwicke ",NA,NA,"Literature"
"Thalassoma lunare ",NA,NA,"Literature"
"Lachnolaimus maximus ",24.55,-81.78,"Literature"
"Choerodon graphicus ",-22.3,166.43,"Literature"
"Choerodon graphicus ",-22.3,166.43,"Literature"
"Choerodon graphicus ",-22.3,166.43,"Literature"
"Choerodon graphicus ",-22.3,166.43,"Literature"
"Coris bulbifrons ",-31.55,159.08,"Literature"
"Pseudolabrus luculentus ",-31.55,159.08,"Literature"
"Coris julis ",42.39,8.59,"Literature"
"Thalassoma pavo ",39.14,3.16,"Literature"
"Coris dorsomacula ",34.08,139.48,"Literature"
"Halichoeres bivittatus ",16.8,-88.1,"Literature"
"Halichoeres garnoti ",16.8,-88.1,"Literature"
"Halichoeres maculipinna ",16.8,-88.1,"Literature"
"Coris julis ",42.48,3.13,"Literature"
"Symphodus mediterraneus ",42.48,3.13,"Literature"
"Coris julis ",42.48,3.13,"Literature"
